Entry,Exp_Rate_Constant k1 (M-1s-1),Substrate SMILES,Nucleophile SMILES,Product SMILES,Reaction SMILES,Temp (K),Activation Free Energy (kcalmol-1),Reference,Year,Title,Authors,DOI,Book_Page,Table,Nucleophile,Leaving Group,Solvent,logk,Entry IDs of Duplicates,Model_Flag
250,3.68957E-06,O=[N+]([O-])c1ccc(Br)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(Br)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,26.96,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_27,Piperidine,Br,MEK,-5.43,"226, 232, 238, 244, 256, 262, 268, 431",modelled
251,1.00553E-06,O=[N+]([O-])c1ccc(I)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(I)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,27.79,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_28,Piperidine,I,MEK,-6,"227, 233, 239, 245, 257, 263, 269",modelled
252,9.35126E-06,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,26.36,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_29,Piperidine,Nitro,MEK,-5.03,"228, 234, 240, 246, 258, 264, 270",modelled
253,4.9804E-06,O=[N+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,26.77,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_30,Piperidine,Nitro,MEK,-5.3,"229, 235, 241, 247, 259, 265, 271",modelled
254,4.31857E-05,O=[N+]([O-])c1ccc(F)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(F)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,25.38,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_31,Piperidine,F,Ethylacetate,-4.36,"224, 230, 236, 242, 248, 260, 266",modelled
255,3.21586E-07,O=[N+]([O-])c1ccc(Cl)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(Cl)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,28.52,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_32,Piperidine,Cl,Ethylacetate,-6.49,"225, 231, 237, 243, 249, 261, 267",modelled
256,7.01532E-07,O=[N+]([O-])c1ccc(Br)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(Br)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,28.02,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_33,Piperidine,Br,Ethylacetate,-6.15,"226, 232, 238, 244, 250, 262, 268, 431",modelled
257,4.00721E-07,O=[N+]([O-])c1ccc(I)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(I)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,28.38,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_34,Piperidine,I,Ethylacetate,-6.4,"227, 233, 239, 245, 251, 263, 269",modelled
258,1.8506E-06,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,27.4,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_35,Piperidine,Nitro,Ethylacetate,-5.73,"228, 234, 240, 246, 252, 264, 270",modelled
259,5.97806E-07,O=[N+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,28.13,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_36,Piperidine,Nitro,Ethylacetate,-6.22,"229, 235, 241, 247, 253, 265, 271",modelled
260,3.80194E-06,O=[N+]([O-])c1ccc(F)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(F)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,26.94,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_37,Piperidine,F,Benzene,-5.42,"224, 230, 236, 242, 248, 254, 266",modelled
261,1.59695E-07,O=[N+]([O-])c1ccc(Cl)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(Cl)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,28.97,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_38,Piperidine,Cl,Benzene,-6.8,"225, 231, 237, 243, 249, 255, 267",modelled
262,2.71311E-07,O=[N+]([O-])c1ccc(Br)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(Br)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,28.63,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_39,Piperidine,Br,Benzene,-6.57,"226, 232, 238, 244, 250, 256, 268, 431",modelled
263,4.71468E-08,O=[N+]([O-])c1ccc(I)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(I)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,29.75,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_40,Piperidine,I,Benzene,-7.33,"227, 233, 239, 245, 251, 257, 269",modelled
264,,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_41,Piperidine,Nitro,Benzene,,"228, 234, 240, 246, 252, 258, 270",missing data
265,,O=[N+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_42,Piperidine,Nitro,Benzene,,"229, 235, 241, 247, 253, 259, 271",missing data
266,0.000140543,O=[N+]([O-])c1ccc(F)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(F)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,24.62,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_43,Piperidine,F,Ethanol,-3.85,"224, 230, 236, 242, 248, 254, 260",modelled
267,8.31529E-07,O=[N+]([O-])c1ccc(Cl)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(Cl)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,27.91,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_44,Piperidine,Cl,Ethanol,-6.08,"225, 231, 237, 243, 249, 255, 261",modelled
268,9.18981E-07,O=[N+]([O-])c1ccc(Br)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(Br)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,27.85,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_45,Piperidine,Br,Ethanol,-6.04,"226, 232, 238, 244, 250, 256, 262, 431",modelled
269,4.71468E-08,O=[N+]([O-])c1ccc(I)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(I)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,29.75,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_46,Piperidine,I,Ethanol,-7.33,"227, 233, 239, 245, 251, 257, 263",modelled
270,,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_47,Piperidine,Nitro,Ethanol,,"228, 234, 240, 246, 252, 258, 264",missing data
271,,O=[N+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,323,,"Chemische Berichte, 97, (1964), 3277-3283",1964,Solvent effects in nucleophilic aromatic substitutions(trans.),"Suhr, Harald", https://doi.org/10.1002/cber.19640971204,,Table 1_48,Piperidine,Nitro,Ethanol,,"229, 235, 241, 247, 253, 259, 265",missing data
272,0.00000386,Clc1ccc(Cl)cc1,C[O-],COc1ccc(Cl)cc1,Clc1ccc(Cl)cc1.C[O-]>>COc1ccc(Cl)cc1,468.4,39.4,"J. Chem. Soc., 1963, 3492-3495",1963,The SN mechanism in aromatic compounds. Part XXIX. Some para-substituted chlorobenzenes,"Miller, J.;Kai-Yan, Wan",https://doi.org/10.1039/JR9630003492,,,Methoxide,Cl,Methanol,-5.41,83,modelled
273,0.0000136,FC(F)(F)c1ccc(Cl)cc1,C[O-],COc1ccc(C(F)(F)F)cc1,FC(F)(F)c1ccc(Cl)cc1.C[O-]>>COc1ccc(C(F)(F)F)cc1,432.6,35.24,"J. Chem. Soc., 1963, 3492-3495",1963,The SN mechanism in aromatic compounds. Part XXIX. Some para-substituted chlorobenzenes,"Miller, J.;Kai-Yan, Wan",https://doi.org/10.1039/JR9630003492,,,Methoxide,Cl,Methanol,-4.87,84,modelled
274,0.000318,CC(=O)Oc1ccc(Cl)cc1,C[O-],COc1ccc(OC(C)=O)cc1,CC(=O)Oc1ccc(Cl)cc1.C[O-]>>COc1ccc(OC(C)=O)cc1,432.5,32.52,"J. Chem. Soc., 1963, 3492-3495",1963,The SN mechanism in aromatic compounds. Part XXIX. Some para-substituted chlorobenzenes,"Miller, J.;Kai-Yan, Wan",https://doi.org/10.1039/JR9630003492,,,Methoxide,Cl,Methanol,-3.5,85,modelled
275,0.0000868,O=[N+]([O-])c1ccc(Cl)cc1,C[O-],COc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(Cl)cc1.C[O-]>>COc1ccc([N+](=O)[O-])cc1,344,26.6,"J. Chem. Soc., 1963, 3492-3495",1963,The SN mechanism in aromatic compounds. Part XXIX. Some para-substituted chlorobenzenes,"Miller, J.;Kai-Yan, Wan",https://doi.org/10.1039/JR9630003492,,,Methoxide,Cl,Methanol,-4.06,86,modelled
276,,Clc1ccccc1,C[O-],COc1ccccc1,Clc1ccccc1.C[O-]>>COc1ccccc1,,,"J. Chem. Soc., 1963, 3492-3495",1963,The SN mechanism in aromatic compounds. Part XXIX. Some para-substituted chlorobenzenes,"Miller, J.;Kai-Yan, Wan",https://doi.org/10.1039/JR9630003492,,,Methoxide,Cl,Methanol,,87,missing data
277,0.00271,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,Cc1cccc(C)c1[O-],COc1nc(OC)nc(Oc2c(C)cccc2C)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.Cc1cccc(C)c1[O-]>>COc1nc(OC)nc(Oc2c(C)cccc2C)n1,298,20.92,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,"2,6-dimethylphenolate",4-nitrophenolate,10% dioxane:water(v/v),-2.57,,modelled
278,0.031,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,Cc1ccc([O-])cc1,COc1nc(OC)nc(Oc2ccc(C)cc2)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.Cc1ccc([O-])cc1>>COc1nc(OC)nc(Oc2ccc(C)cc2)n1,298,19.48,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,4-methylphenolate,4-nitrophenolate,10% dioxane:water(v/v),-1.51,,modelled
279,0.016,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,[O-]c1ccccc1,COc1nc(OC)nc(Oc2ccccc2)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.[O-]c1ccccc1>>COc1nc(OC)nc(Oc2ccccc2)n1,298,19.87,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,phenoxide,4-nitrophenolate,10% dioxane:water(v/v),-1.8,,modelled
280,0.0126,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,[O-]c1ccc(Cl)cc1,COc1nc(OC)nc(Oc2ccc(Cl)cc2)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.[O-]c1ccc(Cl)cc1>>COc1nc(OC)nc(Oc2ccc(Cl)cc2)n1,298,20.01,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,4-chlorophenolate,4-nitrophenolate,10% dioxane:water(v/v),-1.9,,modelled
281,0.00475,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,[O-]c1cccc(Cl)c1,COc1nc(OC)nc(Oc2cccc(Cl)c2)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.[O-]c1cccc(Cl)c1>>COc1nc(OC)nc(Oc2cccc(Cl)c2)n1,298,20.59,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,3-chlorophenolate,4-nitrophenolate,10% dioxane:water(v/v),-2.32,,modelled
282,0.000868,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,[O-]c1ccccc1Cl,COc1nc(OC)nc(Oc2ccccc2Cl)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.[O-]c1ccccc1Cl>>COc1nc(OC)nc(Oc2ccccc2Cl)n1,298,21.59,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,2-chlorophenolate,4-nitrophenolate,10% dioxane:water(v/v),-3.06,,modelled
283,0.000272,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,CC(=O)c1ccc([O-])cc1,COc1nc(OC)nc(Oc2ccc(C(C)=O)cc2)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.CC(=O)c1ccc([O-])cc1>>COc1nc(OC)nc(Oc2ccc(C(C)=O)cc2)n1,298,22.28,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,4-acetylphenolate,4-nitrophenolate,10% dioxane:water(v/v),-3.57,,modelled
284,0.000302,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,N#Cc1ccc([O-])cc1,COc1nc(OC)nc(Oc2ccc(C#N)cc2)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.N#Cc1ccc([O-])cc1>>COc1nc(OC)nc(Oc2ccc(C#N)cc2)n1,298,22.22,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,4-cyanophenolate,4-nitrophenolate,10% dioxane:water(v/v),-3.52,,modelled
285,0.000097,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,O=Cc1ccc([O-])cc1,COc1nc(OC)nc(Oc2ccc(C=O)cc2)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.O=Cc1ccc([O-])cc1>>COc1nc(OC)nc(Oc2ccc(C=O)cc2)n1,298,22.89,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,4-formylphenolate,4-nitrophenolate,10% dioxane:water(v/v),-4.01,,modelled
286,0.000133,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,[O-]c1cccc(Cl)c1Cl,COc1nc(OC)nc(Oc2cccc(Cl)c2Cl)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.[O-]c1cccc(Cl)c1Cl>>COc1nc(OC)nc(Oc2cccc(Cl)c2Cl)n1,298,22.7,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,"2,3-dichlorophenolate",4-nitrophenolate,10% dioxane:water(v/v),-3.88,,modelled
287,0.000093,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,[O-]c1c(F)cccc1F,COc1nc(OC)nc(Oc2c(F)cccc2F)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.[O-]c1c(F)cccc1F>>COc1nc(OC)nc(Oc2c(F)cccc2F)n1,298,22.92,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,"2,6-difluorophenolate",4-nitrophenolate,10% dioxane:water(v/v),-4.03,,modelled
288,0.0000005,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,[O-]c1c(Cl)cccc1Cl,COc1nc(OC)nc(Oc2c(Cl)cccc2Cl)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.[O-]c1c(Cl)cccc1Cl>>COc1nc(OC)nc(Oc2c(Cl)cccc2Cl)n1,298,26.01,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,"2,6-dichlorophenolate",4-nitrophenolate,10% dioxane:water(v/v),-6.3,,modelled
289,0.000056,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,[O-]c1cc(Cl)c(Cl)cc1Cl,COc1nc(OC)nc(Oc2cc(Cl)c(Cl)cc2Cl)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.[O-]c1cc(Cl)c(Cl)cc1Cl>>COc1nc(OC)nc(Oc2cc(Cl)c(Cl)cc2Cl)n1,298,23.22,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,"2,4,5-trichlorophenolate",4-nitrophenolate,10% dioxane:water(v/v),-4.25,,modelled
290,0.00002,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,[O-]c1cc(Cl)cc(Cl)c1Cl,COc1nc(OC)nc(Oc2cc(Cl)cc(Cl)c2Cl)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.[O-]c1cc(Cl)cc(Cl)c1Cl>>COc1nc(OC)nc(Oc2cc(Cl)cc(Cl)c2Cl)n1,298,23.82,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,"2,3,5-trichlorophenolate",4-nitrophenolate,10% dioxane:water(v/v),-4.7,,modelled
291,0.0000022,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1,[O-]c1cc(Cl)c(Cl)c(Cl)c1Cl,COc1nc(OC)nc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)n1,COc1nc(OC)nc(Oc2ccc([N+](=O)[O-])cc2)n1.[O-]c1cc(Cl)c(Cl)c(Cl)c1Cl>>COc1nc(OC)nc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)n1,298,25.13,"J. Am. Chem. Soc., 1995, 117, 5484-5491",1995,"Stepwise versus Concerted Mechanisms at Trigonal Carbon: Transfer of the 1,3,5-Triazinyl Group between Aryl Oxide Ions in Aqueous Solution","Renfrew, A. Hunter, M.;Rettura, Donatella;Taylor, John A.;Whitmore, James M. J.;Williams, Andrew",https://doi.org/10.1021/ja00125a008,,Table 2,"2,3,4,5-tetrachlorophenolate",4-nitrophenolate,10% dioxane:water(v/v),-5.66,,modelled
